totalQtyOwned,name,printNumber,finish,variant,expansion,game,condition,language,price
9,Mountain,298,Standard,,Unlimited Edition,Magic: The Gathering,NM,en,3.74
1,Devoted Druid,143,Standard,,Double Masters 2022,Magic: The Gathering,NM,en,0.65
1,Dreg Mangler,204,Standard,,Double Masters 2022,Magic: The Gathering,NM,en,0.04
1,Unearth,357,Standard,,Double Masters 2022,Magic: The Gathering,NM,en,0.90
1,Ash Barrens,310,Standard,,Double Masters,Magic: The Gathering,NM,en,0.15
1,Llanowar Elves,206,Standard,,30th Anniversary Edition,Magic: The Gathering,NM,en,4.50
1,Blood Pet,121★,Foil,,Seventh Edition,Magic: The Gathering,NM,en,0.31
5,Shock,98,Standard,,Aether Revolt,Magic: The Gathering,NM,en,0.10
1,Shock,98,Foil,,Aether Revolt,Magic: The Gathering,NM,en,0.10
1,Fellwar Stone,206,Standard,,Forgotten Realms Commander,Magic: The Gathering,NM,en,1.50
1,Mind Stone,211,Standard,,Forgotten Realms Commander,Magic: The Gathering,NM,en,0.29
1,Angel of Sanctions,1,Standard,,Amonkhet,Magic: The Gathering,NM,en,0.31
1,Binding Mummy,6,Standard,,Amonkhet,Magic: The Gathering,NM,en,0.09
2,Archfiend of Ifnir,78,Standard,,Amonkhet,Magic: The Gathering,NM,en,1.15
1,"Liliana, Death's Majesty",97,Standard,,Amonkhet,Magic: The Gathering,NM,en,0.68
1,Channeler Initiate,160,Standard,,Amonkhet,Magic: The Gathering,NM,en,0.29
1,"Hapatra, Vizier of Poisons",199,Standard,,Amonkhet,Magic: The Gathering,NM,en,0.91
1,Wayward Servant,208,Standard,,Amonkhet,Magic: The Gathering,NM,en,0.32
1,Viscera Dragger,92,Standard,,Shards of Alara,Magic: The Gathering,NM,en,0.13
1,Caves of Koilos,140,Standard,,Apocalypse,Magic: The Gathering,NM,en,12.63
1,Twisted Abomination,26,Standard,,Archenemy,Magic: The Gathering,NM,en,0.09
1,Harmonize,59,Standard,,Archenemy,Magic: The Gathering,NM,en,0.57
1,Dimir Signet,104,Standard,,Archenemy,Magic: The Gathering,NM,en,1.31
12,Forest,280,Standard,,Bloomburrow,Magic: The Gathering,NM,en,0.32
2,Forest,280,Foil,,Bloomburrow,Magic: The Gathering,NM,en,0.32
1,Satyr Wayfinder,136,Standard,,Born of the Gods,Magic: The Gathering,NM,en,0.16
14,Plains,128,Standard,,Battle Royale Box Set,Magic: The Gathering,NM,en,1.59
2,Evolving Wilds,184,Standard,,The Brothers' War Commander,Magic: The Gathering,NM,en,0.21
2,Recruitment Officer,23,Standard,,The Brothers' War,Magic: The Gathering,NM,en,0.14
2,Roc Hunter,150,Standard,,The Brothers' War,Magic: The Gathering,NM,en,0.02
1,Savage Lands,317,Standard,,Commander 2013,Magic: The Gathering,NM,en,0.56
1,Orzhov Basilica,298,Standard,,Commander 2015,Magic: The Gathering,NM,en,0.24
1,Call to the Netherworld,108,Standard,,Commander 2019,Magic: The Gathering,NM,en,0.56
1,Sakura-Tribe Elder,177,Standard,,Commander 2019,Magic: The Gathering,NM,en,0.67
1,Mortuary Mire,260,Standard,,Commander 2019,Magic: The Gathering,NM,en,0.18
1,Desert of the Mindful,267,Standard,,Commander 2020,Magic: The Gathering,NM,en,0.20
1,Desert of the True,268,Standard,,Commander 2020,Magic: The Gathering,NM,en,0.10
1,Champion of Wits,116,Standard,,Commander 2021,Magic: The Gathering,NM,en,0.12
2,Command Tower,8,Standard,,Commander Collection: Green,Magic: The Gathering,NM,en,1.69
1,Atrocious Experiment,115,Standard,,Commander Legends: Battle for Baldur's Gate,Magic: The Gathering,NM,en,0.08
1,Despark,841,Standard,,Commander Legends: Battle for Baldur's Gate,Magic: The Gathering,NM,en,0.44
1,Maskwood Nexus,865,Standard,,Commander Legends: Battle for Baldur's Gate,Magic: The Gathering,NM,en,1.07
1,Talisman of Hierarchy,878,Standard,,Commander Legends: Battle for Baldur's Gate,Magic: The Gathering,NM,en,0.96
1,Golgari Signet,222,Standard,,Ravnica: Clue Edition,Magic: The Gathering,NM,en,0.44
1,Corpse Augur,145,Standard,,Commander Masters,Magic: The Gathering,NM,en,0.12
1,Thriving Bluff,429,Standard,,Commander Masters,Magic: The Gathering,NM,en,0.09
1,The Scarab God,590,Standard,,Commander Masters,Magic: The Gathering,NM,en,10.00
1,Cast Out,816,Standard,,Commander Masters,Magic: The Gathering,NM,en,0.20
2,Fleshbag Marauder,648,Standard,,Commander Legends,Magic: The Gathering,NM,en,0.40
1,Blood Pact,88,Standard,,Innistrad: Double Feature,Magic: The Gathering,NM,en,0.24
1,Crawling Infestation,460,Standard,,Innistrad: Double Feature,Magic: The Gathering,NM,en,0.24
1,Black Sun's Zenith,68,Foil,,DCI Promos,Magic: The Gathering,NM,en,5.99
2,Night's Whisper,68,Standard,,Duel Decks: Jace vs. Vraska,Magic: The Gathering,NM,en,0.96
1,Risky Shortcut,103,Standard,,Aetherdrift,Magic: The Gathering,NM,en,0.12
1,Brightglass Gearhulk,191,Standard,,Aetherdrift,Magic: The Gathering,NM,en,4.77
1,Marshals' Pathcruiser,236,Foil,,Aetherdrift,Magic: The Gathering,NM,en,0.07
1,Bontu's Monument,179,Standard,,Dominaria United Commander,Magic: The Gathering,NM,en,3.56
3,Mesa Cavalier,26,Standard,,Dominaria United,Magic: The Gathering,NM,en,0.03
2,Samite Herbalist,31,Standard,,Dominaria United,Magic: The Gathering,NM,en,0.03
1,Shivan Devastator,143,Standard,,Dominaria United,Magic: The Gathering,NM,en,2.91
2,Magnigoth Sentry,172,Standard,,Dominaria United,Magic: The Gathering,NM,en,0.09
1,Ragefire Hellkite,285,Standard,,Dominaria United,Magic: The Gathering,NM,en,0.12
2,Cast Down,81,Standard,,Dominaria,Magic: The Gathering,NM,en,0.98
1,"Hashaton, Scarab's Fist",1,Foil,,Aetherdrift Commander,Magic: The Gathering,NM,en,1.17
1,"Temmet, Naktamun's Will",4,Foil,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.37
1,Renewed Solidarity,7,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,5.38
1,Wizened Mentor,8,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.71
1,Prophet of the Scarab,9,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.56
1,Rhet-Tomb Mystic,10,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.30
1,Lost Monarch of Ifnir,11,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,1.62
1,On Wings of Gold,21,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.50
1,Priest of the Crossing,22,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.24
1,Accursed Duneyard,36,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,1.21
1,Cryptbreaker,41,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,1.07
1,Midnight Reaper,44,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.23
1,Corpse Knight,50,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.61
1,Eternal Skylord,76,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.16
1,Forgotten Creation,77,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.15
1,Never,96,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.12
1,Plague Belcher,97,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.41
1,Rot Hulk,98,Standard,,Aetherdrift Commander,Magic: The Gathering,NM,en,0.43
1,Carrion Grub,134,Standard,,Duskmourn: House of Horror Commander,Magic: The Gathering,NM,en,0.22
1,Gray Merchant of Asphodel,142,Standard,,Duskmourn: House of Horror Commander,Magic: The Gathering,NM,en,1.44
3,Acrobatic Cheerleader,1,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
2,Cult Healer,2,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
2,Emerge from the Cocoon,5,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
1,Exorcise,8,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.28
1,Exorcise,8,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.28
1,Fear of Abduction,9,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
2,Fear of Immobility,10,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.02
3,Fear of Surveillance,11,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
2,Friendly Ghost,12,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.03
2,Glimmer Seeker,14,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.09
1,Glimmer Seeker,14,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.09
2,Hardened Escort,16,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.08
3,Jump Scare,17,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.10
2,Lionheart Glimmer,19,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
2,Living Phone,20,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
1,Orphans of the Wheat,22,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
1,Patched Plaything,24,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.07
2,Possessed Goat,25,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.05
1,Savior of the Small,27,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.06
2,Seized from Slumber,28,Standard,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
1,Seized from Slumber,28,Foil,,Duskmourn: House of Horror,Magic: The Gathering,NM,en,0.04
